entries|examples|translation|nwords|counter|firsttime|lasttime
der Fahrer, -|1. Die Fahrerin des Wagens wurde nicht verletzt. 2. Leonid ist von Beruf Busfahrer. 3. Während der Fahrt bitte nicht mit dem Fahrer sprechen!|1. The driver of the car was not injured. 2. Leonid is bus driver by profession. 3. Please do not talk to the driver while driving! |2|0|never|never
die Fahrkarte, -n → CH: Billet|Fahrkarten bekommt man am Automaten.|Tickets are available at the machine. |2|0|never|never
der Fahrplan, ¨-e|1. Der Fahrplan hat sich geändert. 2. Haben Sie schon den neuen Sommerfahrplan?|1. The timetable has changed. 2. Do you already have the new summer timetable? |2|0|never|never
das Fahrrad, ¨-er → D, A: Rad; CH: Velo|Sie fährt jeden Morgen mit dem Fahrrad zur Arbeit.|She drives every morning by bike to work. |3|0|never|never
das Fahrzeug, -e|Wem gehört das Fahrzeug?|Who owns the vehicle? |2|0|never|never
fair|Ich finde, unsere Mannschaft hat sehr fair gespielt.|I find our team played very fairly. |1|0|never|never
der Faktor, -en|Die Creme hat einen hohen Sonnenschutzfaktor.|The cream has a high sun protection factor. Protective factor. |2|0|never|never
der Fall, ¨-e|1. Was würden Sie in diesem Fall tun? 2. Rufen Sie auf jeden Fall vorher noch einmal an. 3. Für den Fall, dass meine Mutter aus dem Krankenhaus kommt, bleibe ich zu Hause.|1. What would you do in this case? 2. In any case, call before. 3. In the event that my mother comes from the hospital, I'll stay at home. |2|0|never|never
fallen, fällt, fiel, ist gefallen|1. Das Glas ist auf den Boden gefallen. 2. In den Bergen ist schon Schnee gefallen. 3. Die Temperatur ist ganz plötzlich unter null gefallen.|1. The glass fell on the ground. 2. Snow has already fallen in the mountains. 3. The temperature is suddenly below zero. |4|0|never|never
fällig|Die Rechnung ist Énde des Monats fällig.|The bill is due énde of the month. |1|0|never|never
falls|Falls es regnet, machen wir kein Picknick.|If it rains, we do not make a picnic. |1|0|never|never
falsch|1. Tut mir leid, ich habe die falsche Nummer gewählt. 2. Meine Uhr geht falsch. 3. Was Sie da sagen, ist falsch.|1. I'm sorry, I have chosen the wrong number. 2. My clock goes wrong. 3. What they say there is wrong. |1|0|never|never
die Familie, -n|Ich habe eine große Familie.|I have a big family. |2|0|never|never
der Familienstand (D, A) → Personenstand; CH: Zivilstand|Bei „Familienstand“ musst du „ledig“ ankreuzen.|"For ""marital status"" you have to check ""single"". "|2|0|never|never
fangen, fängt, fing, hat gefangen|1. Das Kind hat den Ball gefangen. 2. Unsere Katze hat eine Maus gefangen.|1. The child has caught the ball. 2. Our cat has caught a mouse. |4|0|never|never
die Fantasie/Phantasie, -n|Mein Sohn malt sehr gut. Er hat viel Fantasie.|My son paints very well. He has a lot of imagination. |2|0|never|never
fantastisch|Die Aussicht ist fantastisch!|The view is fantastic! |1|0|never|never
die Farbe, -n|1. Welche Farbe magst du am liebsten? 2. Diese Farbe trocknet schnell.|1. Which color do you prefer? 2. This color dries quickly. |2|0|never|never
farbig|Ich brauche kein weißes, sondern farbiges Papier.|I do not need white, but colored paper. |1|0|never|never
das Faschierte (A) → D, CH: Hackfleisch|Geben Sie mir bitte 500 g Faschiertes.|Please give me 500 g. |2|0|never|never
der Fasching, - (D, A) → D: Karneval; CH: Fasnacht|Dort hängt mein Kostüm für den Faschings(um)zug.|There my costume hangs for the carnival (um) train. |3|0|never|never
die Fasnacht (CH) → D, A: Fasching; D: Karneval|Dort hängt mein Kostüm für den Fasnachtsumzug.|There my costume hangs for the carnival. |2|0|never|never
fassen, fasst, fasste, hat gefasst|1. Sie haben den Dieb gefasst. 2. Ich habe den Entschluss gefasst, nach Wien zu ziehen.|1. You have taken the thief. 2. I have taken the decision to move to Vienna. |4|0|never|never
fast|1. Das Konzent ist fast zu Ende. 2. Ich habe fast alles verstanden.|1. The concentration is almost over. 2. I understood almost everything. |1|0|never|never
faul|1. Mein Sohn war am Anfang in der Schule sehr faul. Heute lernt er sehr fleißig. 2. Den Apfel kannst du nicht mehr essen. Er ist faul.|1. My son was very lazy at the beginning at school. Today he learns very hardworking. 2. You can not eat the apple anymore. He is lazy. |1|0|never|never
faulenzen, faulenzt, faulenzte, hat gefaulenzt|Am Wochenende können wir faulenzen.|On the weekend we can laze. |4|0|never|never
der Fauteuil, -s (A, CH) → D, CH: Sessel|Ich hätte gern einen bequemen Fauteuil.|I would like to have a comfortable faucet. |4|0|never|never
fehlen, fehlt, fehlte, hat gefehlt|1 Auf dem Brief fehlt der Absender. 2. Hast du Kleingeld? Mir fehlt ein Euro. 3. In der Kasse fehlen 20 Euro. 4. Antonio war nicht in der Schule, er fehlt schon seit drei Tagen. 5. Was fehlt Ihnen? Haben Sie Schmerzen?|1 The sender is missing on the letter. 2. Do you have a change? I miss a euro. 3. In the cashier, 20 euros are missing. 4. Antonio was not at school, he has been missing for three days. 5. What is missing? Do you have pain? |4|0|never|never
der Fehler, -|1. Ich glaube, da haben Sie einen Fehler gemacht. 2. Die Schülerin hat den Fehler sofort gefunden.|1. I think there you have made a mistake. 2. The student has found the mistake immediately. Found. |2|0|never|never
feiern, feiert, feierte, hat gefeiert|Wir haben gestern Karls Geburtstag gefeiert.|We celebrated Charl's birthday yesterday. |4|0|never|never
die Feier, -n|Es war eine schöne Feier.|It was a nice celebration. |2|0|never|never
der Feierabend|Einen schönen Feierabend.|A nice closure. |1|0|never|never
der Feiertag, -e|1. Am Montag ist Feiertag. 2. Schöne Feiertage.|1. On Monday is holiday. 2. Beautiful holidays. |2|0|never|never
das Feld, -er|Auf diesem Feld wächst Gemüse.|Vegetables grows on this field. |2|0|never|never
das Fenster, -|Darf ich einen Moment das Fenster aufmachen?|May I open the window for a moment? |2|0|never|never
die Ferien (Pl.) (CH) → D, A: Urlaub Ferien-|Ich habe noch drei Tage Ferien. Ich suche eine günstige Ferienwohnung.|I have three days for another. I am looking for a cheap apartment. |2|0|never|never
die Fernbedienung, -en|Hast du die Fernbedienung gesehen?|Did you see the remote control? |2|0|never|never
fernsehen, sieht fern, sah fern, hat ferngesehen|Meine Kinder dürfen abends nur eine Stunde fernsehen.|My children may only watch TV in the evening. |4|0|never|never
das Fernsehen|Was gibt es heute Abend im Fernsehen?|What is there on TV tonight? |1|1|2021/04/17|2021/04/17
der Fernseher, -|Der Fernseher ist schon wieder kaputt.|The TV is broken again. |2|0|never|never
fertig|1. Das Essen ist gleich fertig. 2. Wenn ich mit der Arbeit fertig bin, gehe ich nach Hause. 3. Bist du fertig? 4. Das war ein schlimmer Tag. Ich bin total fertig.|1. The food is ready. 2. If I'm done with the work, I go home. 3. Are you done? 4. That was a worse day. I am totally exhausted. |1|0|never|never
fest|1. Mein Kollege glaubt fest daran, dass er die neue Stelle bekommt. 2. Als wir nach Hause kamen, haben die Kinder schon fest geschlafen. 3. Für die nächste Familienfeier gibt es noch keinen festen Termin.|1. My colleague firmly believes that he gets the new job. 2. When we came home, the children have already slept firmly. 3. There is no permanent appointment for the next family celebration. |1|0|never|never
das Fest, -e|1. Wenn ich 18 werde, feiern wir ein großes Fest. 2. Frohes Fest!|1. If I'm 18, we celebrate a big one. 2. Happy holiday! |2|0|never|never
die Festplatte, -n|Mein Computer hat eine große Festplatte.|My computer has a big hard drive. |2|0|never|never
festhalten, hält fest, hielt fest, hat festgehalten|1. Halt dich gut fest. 2. Halt die Flasche gut fest.|1. hold well. 2nd stop the bottle well. |4|0|never|never
festlegen, legt fest, legte fest, hat festgelegt|1. Ich weiß noch nicht, ob ich das mache. Ich möchte mich noch nicht festlegen. 2. Habt ihr den Hochzeitstermin schon festgelegt?|1. I do not know if I do that. I do not want to set myself yet. 2. Did you already define the wedding date? |4|0|never|never
festnehmen nimmt fest, nahm fest, hat festgenommen.|Die Polizei hat einen Mann festgenommen.|The police arrested a man. |3|0|never|never
festsetzen, setzt fest, setzte fest, hat festgesetzt|Die Schule hat den Termin für die Prüfung festgesetzt.|The school has set the appointment for the exam. |4|0|never|never
feststehen, steht fest, stand fest, ist festgestanden|Der Termin steht seit Langem fest.|The appointment has been a long time. |4|0|never|never
feststellen, stellt fest, stellte fest, hat festgestellt|1. Er hat festgestellt, dass der Absender des Briefes falsch war. 2. Der Arzt hat mich untersucht, konnte aber nichts feststellen.|1. He has found that the sender of the letter was wrong. 2. The doctor examined me, but could not find anything. |4|0|never|never
fett|1. Die Wurst ist mir zu fett. 2. Das ist aber eine fette Katze!|1. The sausage is too fat for me. 2. But that's a fat cat! |1|0|never|never
das Fett|Man soll nicht so viel Fett essen.|You should not eat so much fat. |1|0|never|never
feucht|1. Die Wäsche ist noch feucht. 2. Es ist heute feucht draußen.|1. The laundry is still wet. 2. It is damp outside today. |1|0|never|never
das Feuer|1. Der Schaden durch das Feuer war sehr groß. 2. Haben Sie Feuer?|1. The damage due to the fire was very big. 2. Do you have fire? |1|0|never|never
das Feuerzeug, -e|Ist das Feuerzeug neu?|Is the lighter new? |2|0|never|never
die Feuerwehr, -en|Schnell! Rufen Sie die Feuerwehr! Die Nummer ist: 112.|Fast! Call the fire department! The number is: 112. |2|0|never|never
das Fieber|Plötzlich habe ich hohes Fieber bekommen.|Suddenly I got high fever. |1|0|never|never
die Figur, -en|1. Lars hat eine gute Figur. 2. Bei diesem Spiel hat jeder Spieler vier Figuren.|1. Lars has a good figure. 2. In this game, each player has four figures. |2|0|never|never
der Film, -e|Den Film musst du dir unbedingt ansehen.|You need to look at the movie. |2|0|never|never
finanzieren, finanziert, finanzierte, hat finanziert|Ich weiß nicht, wie ich das Auto finanzieren soll.|I do not know how to finance the car. |4|0|never|never
finanziell|Finanziell geht es meinem Neffen jetzt besser.|Financially, my nephew is feeling better now. |1|1|2021/04/17|2021/04/17
finden, findet, fand, hat gefunden|1. Meine Tante hat eine gute Arbeit gefunden. 2. Ich kann meinen Schlüssel nicht finden. 3. Luigi finde ich sehr nett.|1. My aunt has found a good job. 2. I can not find my key. 3. Luigi I find very nice. |4|0|never|never
der Finger, -|Alessandro hat sich in den Finger geschnitten.|Alessandro cut into his fingers. |2|0|never|never
die Firma, Firmen|Seit wann arbeiten Sie bei dieser Firma?|Since when do you work with this company? |2|0|never|never
flach|1. Für die Arbeit brauche ich flache Schuhe. 2. An dieser Stelle ist der See sehr flach.|1. For the work I need flat shoes. 2. At this point, the lake is very flat. |1|0|never|never
die Fläche, -n|Unsere Wohnung hat eine Wohnfläche von 100 m².|Our apartment has a living area of 100 m². |2|0|never|never
die Flasche, -n|1. Wo kann man die leeren Flaschen zurückgeben? 2. Eine Flasche Bier bitte.|1. Where can you return the empty bottles? 2. A bottle of beer please. |2|0|never|never
der Fleck, -en|Du hast einen Fleck auf der Bluse.|You have a stain on the blouse. |2|0|never|never
das Fleisch|Fleisch mag ich nicht.|I do not like meat. |1|0|never|never
der Fleischhauer, - die Fleischhauerin, -nen (A) → Metzger|Dieser Fleischhauer macht sehr gute Wurst.|This meat is very good sausage. |3|0|never|never
fleißig|Pamela ist wirklich fleißig. Sie macht immer ihre Hausaufgaben.|Pamela is really hardworking. She always makes her homework. |1|0|never|never
flexibel|Meine Arbeitszeit ist flexibel.|My working time is flexible. |1|0|never|never
fliegen, fliegt, flog, ist geflogen|1. Der Vogel ist auf einen Baum geflogen. 2. Diese Maschine fliegt direkt nach New York. 3. Ich bin nach Berlin geflogen.|1. The bird flew on a tree. 2. This machine flies directly to New York. 3. I flew to Berlin. |4|0|never|never
fliehen, flieht, floh, ist geflohen|Der Einbrecher ist sofort geflohen.|The burglar has fled immediately. |4|0|never|never
die Flucht|Der Einbrecher war schon auf der Flucht.|The burglar was already on the run. |1|0|never|never
fließen, fließt, floss, ist geflossen|Dieser Fluss fließt in die Nordsee.|This river flows into the North Sea. |4|0|never|never
fließend|1. Mein Kollege spricht fließend Deutsch. 2. Zimmer mit fließendem Wasser.|1. My colleague speaks fluent German. 2. Room with running water. |1|0|never|never
der Flohmarkt, ¨-e|Diesen Hut habe ich am Flohmarkt gekauft.|I bought this hat at the flea market. |2|0|never|never
die Flöte, -n|Sie spielt sehr schön Flöte.|She plays very nice flute. |2|0|never|never
der Flug, ¨-e|Ich habe den Flug für Sie gebucht.|I booked the flight for you. |2|0|never|never
der Flughafen, ¨-|Der Flughafen liegt 30 km außerhalb der Stadt.|The airport is located 30 km outside the city. |2|0|never|never
das Flugzeug, -e|Das Flugzeug ist gerade gelandet.|The plane has just landed. |2|0|never|never
der Flur, -e → Gang; D, CH: Korridor|Wir warten draußen im Flur.|We are waiting outside in the hallway. |3|0|never|never
der Fluss, ¨-e|Wie heißt dieser Fluss?|What's the name of this river? |2|0|never|never
die Flüssigkeit, -en|Dieses Medikament mit viel Flüssigkeit einnehmen.|Take this medicine with a lot of fluid. |2|0|never|never
folgen, folgt, folgte, ist gefolgt|1. Es folgen die Nachrichten. 2. Folgen Sie der Reiseleiterin.|1. Follow the news. 2. Follow the tour guide. |4|0|never|never
die Folge, -n|Die Folgen des Unfalls waren schlimm.|The consequences of the accident were bad. |2|0|never|never
folgend|1. Mehr Informationen auf den folgenden Seiten. 2. Das Geschäft hat folgende Angebote: …|1. More information on the following pages. 2. The business has the following offers: ... |1|0|never|never
fordern, fordert, forderte, hat gefordert|Die Arbeitnehmer fordern mehr Geld.|The workers demand more money. |4|0|never|never
die Forderung, -en|Alle Forderungen der Arbeitnehmer kann man in dieser E-Mail lesen.|All claims of the workers can be read in this e-mail. |2|0|never|never
fördern, fördert, förderte, hat gefördert|Die Stadt fördert viele Sportprojekte.|The city promotes many sports projects. |4|0|never|never
die Förderung, -en|Für das Projekt bekommen wir eine Förderung von der Stadt.|For the project we get a promotion of the city. |2|0|never|never
die Form, -en|1. Diese Schuhe haben eine schöne Form. 2. Ich möchte für den Geburtstag einen Kuchen backen. Kannst du mir eine Backform leihen?|1. These shoes have a beautiful shape. 2. I would like to bake a cake for the birthday. Can you lend me a baking dish? |2|0|never|never
das Formular, -e|Füllen Sie bitte dieses Formular aus.|Please fill in this form. |2|0|never|never
die Forschung, -en|Er arbeitet in der Forschung.|He works in research. |2|0|never|never
die Fortbildung, -en|Die Fortbildung, die ich machen will, ist sehr teuer.|The training I want to do is very expensive. |2|0|never|never
der Fortschritt, -e|Ich habe beim Deutschlernen große Fortschritte gemacht.|I have made great progress in German learning. |2|0|never|never
fortsetzen, setzt fort, setzte fort, hat fortgesetzt|Wir setzen die Behandlung am nächsten Donnerstag um 11 Uhr fort.|We continue the treatment next Thursday at 11 o'clock. |4|0|never|never
die Fortsetzung, -en|Fortsetzung folgt.|Sequel follows. |2|0|never|never
das Forum, Foren (Internetforum)|Ich melde mich heute bei diesem Forum an.|I sign up today with this forum. |2|0|never|never
fotografieren, fotografiert, fotografierte, hat fotografiert|Ich fotografiere gern.|I like to take pictures. |4|0|never|never
das Foto, -s|Können Sie dieses Foto vergrößern?|Can you enlarge this photo? |2|0|never|never
der Fotoapparat, -e|Ich möchte mir einen Fotoapparat kaufen.|I would like to buy a camera. |2|0|never|never
der Fotograf, -en|Die Fotografin hat sehr schöne Fotos gemacht.|The photographer has made very nice photos. |2|0|never|never
die Fotografie, -n|Ich interessiere mich für Fotografie.|I am interested in photography. |2|0|never|never
fragen, fragt, fragte, hat gefragt|1. Darf ich Sie etwas fragen? 2. Hat jemand nach mir gefragt? 3. Ich frage mich, ob das richtig war.|1. May I ask you something? 2. Does anyone ask for me? 3. I wonder if that was right. |4|1|2021/04/17|2021/04/17
die Frage, -n|1. Ich habe Ihre Frage leider nicht verstanden. 2. Das kommt gar nicht infrage!|1. Unfortunately I did not understand your question. 2. That does not matter at all! |2|1|2021/04/17|2021/04/17
die Frau, -en|1. In meinem Deutschkurs sind mehr Frauen als Männer. 2. Ist Ihre Frau berufstätig? 3. Guten Tag, Frau Müller!|1. In my German course, more women are as men. 2. Is your wife professionally? 3. Good day, Mrs. Müller! |2|0|never|never
frech|Du darfst in der Schule nicht so frech sein.|You can not be so cheeky at school. |1|0|never|never
frei|1. Ist dieser Platz noch frei? 2. Morgen haben wir frei. 3. Eintritt frei. 4. Ich trinke nur alkoholfreies Bier. 5. Dieses Medikament ist rezeptfrei. 6. Die Schüler können die Arbeitszeit frei wählen.|1. Is this place still free? 2. Tomorrow we have free. 3. Admission free. 4. I drink only non-alcoholic beer. 5. This drug is over the counter. 6. The students can choose the working time freely. |1|0|never|never
im Freien|Wir wollen heute im Freien übernachten.|We want to stay outside today. |1|0|never|never
die Freiheit|Wir wollen die Freiheit haben, unsere Meinung sagen zu können.|We want to have the freedom to say our opinion. |1|0|never|never
die Freizeit|In meiner Freizeit höre ich gern Musik.|In my free time I like to hear music. |1|0|never|never
freiwillig|Manchmal bleibe ich freiwillig länger im Büro.|Sometimes I voluntarily stay longer in the office. |1|0|never|never
fremd|1. Ich reise gern in fremde Länder. 2. Ich bin fremd hier.|1. I like traveling in foreign countries. 2. I'm alien here. |1|0|never|never
fressen, frisst, fraß, hat gefressen|Hat der Hund schon etwas zu fressen bekommen?|Did the dog have something to eat? |4|0|never|never
sich freuen, freut sich, freute sich, hat sich gefreut|1. Es freut mich, dass alles so gut geklappt hat. 2. Ich habe mich über Ihr Geschenk sehr gefreut. 3. Ich freue mich schon auf meinen nächsten Urlaub.|1. I am glad that everything worked so well. 2. I was very happy about her gift. 3. I'm looking forward to my next vacation. Sten vacation. |4|0|never|never
die Freude|Diese Arbeit macht mir viel Freude.|This work makes me a lot of fun. |1|0|never|never
der Freund, -e|Ich sehe meine Freunde nur am Wochenende.|I see my friends only on weekends. |2|0|never|never
freundlich|1. Er hat uns sehr freundlich begrüßt. 2. Der Mann ist sehr freundlich zu mir. 3. Mit freundlichen Grüßen|1. He greeted us very friendly. 2. The man is very friendly to me. 3. Sincerely |1|0|never|never
die Freundschaft, -en|Deine Freundschaft ist mir sehr wichtig.|Your friendship is very important to me. |2|0|never|never
der Friede, Frieden, -|Endlich ist hier Frieden!|Finally, peace here is! |3|0|never|never
frieren, friert, fror, hat gefroren|1. Wenn Sie frieren, mache ich das Fenster wieder zu. 2. Heute Nacht hat es gefroren.|1. If you freeze, I'll make the window again. 2. Tonight it was frozen. |4|0|never|never
frisch|1. Das Brot ist noch ganz frisch. 2. Die Handtücher sind frisch gewaschen. 3. Ich muss mal an die frische Luft.|1. The bread is still fresh. 2. The towels are freshly washed. 3. I have to go to the fresh air. |1|0|never|never
der Friseur, -e die Friseurin, -nen (D, A) → CH: Coiffeur|1. Du siehst toll aus! Wer ist dein Friseur? 2. Meine Tochter will Friseurin werden.|1. You look great! Who is your hairdresser? 2. My daughter wants to become a hairdresser. |4|0|never|never
die Frisur, -en|Du hast eine tolle Frisur! Warst du beim Friseur?|You have a great hairstyle! Were you at the hairdresser? |2|0|never|never
die Frist, -en|Die Frist für die Anmeldung zum Deutschkurs ist abgelaufen.|The deadline for registration to the German course has expired. |2|0|never|never
froh|1. Ich bin froh, dass alles so gut geklappt hat. 2. Frohes Fest!|1. I am glad that everything worked so well. 2. Happy holiday! |1|0|never|never
fröhlich|1. Die Musik klingt fröhlich. 2. Sie ist ein fröhlicher Mensch.|1. The music sounds happily. 2. She is a cheerful person. |1|0|never|never
die Frucht, ¨-e|Welche Früchte kann man essen?|Which fruits can you eat? |2|0|never|never
Früchte (CH) → D, A: Obst|Früchte kaufe ich am liebsten auf dem Markt.|I like to buy fruits in the market. |2|0|never|never
früh|1. Hier ist schon am frühen Morgen starker Verkehr. 2. Mein Vater arbeitet von früh bis spät. 3. Ich bin heute sehr früh aufgestanden. 4. Wir sind eine halbe Stunde zu früh gekommen. 5. Wecken Sie mich bitte morgen früh um 6 Uhr.|1. Here is strong traffic early morning. 2. My father works from morning to late. 3. I got up very early today. 4. We came to early half an hour. 5. Please awaken me tomorrow morning at 6 o'clock. |1|0|never|never
früher/früher-|1. Früher habe ich in Berlin gewohnt. 2. Wir nehmen den früheren Zug.|1. I used to be used to Berlin. 2. We take the former train. |1|0|never|never
frühstücken, frühstückt, frühstückte, hat gefrühstückt|Haben Sie schon gefrühstückt?|Did you already have breakfast? |4|0|never|never
das Frühstück|1. Wir sitzen gerade beim Frühstück. 2. Sollen wir Ihnen das Frühstück aufs Zimmer bringen?|1. We are sitting at breakfast. 2. Should we bring you the breakfast to the room? |1|0|never|never
fühlen, fühlt, fühlte, hat gefühlt|1. Wie fühlen Sie sich? - Danke, ich fühle mich wohl. 2. Fühl mal, ob das Wasser nicht zu heiß ist.|1. How do you feel? - Thanks, I feel good. 2. Feel, if the water is not too hot. |4|0|never|never
führen, führt, führte, hat geführt|1. Der Lehrer führt seine Schüler durch das Museum. 2. Frau Meyer führt den Betrieb schon seit zehn Jahren. 3. Nach 20 Minuten führte unsere Mannschaft 2 : 0. 4. Die Straße führt direkt zum Bahnhof.|1. The teacher leads his students through the museum. 2. Mrs. Meyer has been running the operation for ten years. 3. After 20 minutes our team led 2: 0. 4. The road leads directly to the train station. |4|0|never|never
der Führerausweis, -e (CH) → D, A: Führerschein|Hast du einen Führerausweis?|Do you have a driver's ticket? |3|0|never|never
der Führerschein, -e (D, A) → CH: Führerausweis|1. Hast du einen Führerschein? 2. Ich habe vor einem halben Jahr den Führerschein gemacht.|1. Do you have a driver's license? 2. I made the driver's license half a year ago. |3|0|never|never
die Führung, -en|1. Die nächste Führung beginnt um 15 Uhr. 2. Bayern München liegt in Führung.|1. The next lead starts at 3 pm. 2. Bayern Munich is in the lead. |2|0|never|never
das Fundbüro, -s|Sie haben Ihren Schirm verloren. Da fragen Sie am besten im Fundbüro.|You have lost your screen. As you ask the best in the lost property office. |2|0|never|never
funktionieren, funktioniert, funktionierte, hat funktioniert|1. Können Sie mir bitte mal zeigen, wie der Automat funktioniert? 2. Unsere Ehe funktioniert nicht mehr.|1. Can you please show me how the machine works? 2. Our marriage does not work anymore. |4|0|never|never
für|1. Ist Post für mich da? 2. Ich habe die Schlüssel für meine Wohnung verloren. 3. Gibt es hier einen Sportverein für Jugendliche? 4. Diese alten Möbel haben wir für 100 Euro bekommen. 5. Für einen Anfänger spielt er schon sehr gut Klavier. 6. Du kannst nicht einkaufen gehen? Ich kann es für dich machen. 7. Für mich ist das ein schwerer Fehler. 8. Wir haben die Wohnung für ein Jahr gemietet.|1. Is post for me? 2. I lost the keys for my apartment. 3. Is there a sports club for young people? 4. We got these old furniture for 100 euros. 5. For a beginner he plays very well piano. 6. You can not go shopping? I can do it for you. 7. For me this is a serious mistake. 8. We rented the apartment for a year. |1|0|never|never
furchtbar|1. Dennis hat furchtbare Schmerzen. 2. Das war mir furchtbar unangenehm.|1. Dennis has terrible pain. 2. That was terribly unpleasant. |1|0|never|never
(sich) fürchten, fürchtet, fürchtete, hat gefürchtet|Sie fürchtet sich vor Schlangen.|She fears of snakes. |4|0|never|never
der Fuß, ¨-e|1. Er hat sich den linken Fuß gebrochen. 2. Sind Sie zu Fuß gekommen?|1. He has broken his left foot. 2. Are you walking? |2|0|never|never
der Fußball, ¨-e|1. Spielt ihr gerne Fußball? 2. Jonas wünscht sich zu Weihnachten einen neuen Fußball.|1. Do you like to play football? 2. Jonas wishes for Christmas a new football. |2|0|never|never
der Fußgänger, - die Fußgängerin, -nen|Dieser Weg ist nur für Fußgänger.|This path is only for pedestrians. |3|0|never|never
die Fußgängerzone, -n|Wir treffen uns um 15 Uhr in der Fußgängerzone.|We meet at 3 pm in the pedestrian zone. |2|0|never|never
füttern, füttert, fütterte, hat gefüttert|Es ist im Zoo nicht erlaubt, die Tiere zu füttern.|It is not allowed in the zoo to feed the animals. |4|0|never|never
die Gabel, -n|Wir brauchen bitte noch eine Gabel.|Please still need a fork. |2|0|never|never
die Galerie, -n|Diese Galerie ist sehr interessant.|This gallery is very interesting. |2|0|never|never
der Gang, ¨-e|1. Wir warten draußen im Gang. ( → D, CH: Korridor; D: Flur) 2. Schalten Sie bitte jetzt in den dritten Gang. 3. Was möchten Sie als ersten Gang? Suppe oder Salat?|1. We are waiting outdoors. (→ D, CH: Corridor; D: Hallway) 2. Turn on the third gear now. 3. What do you want as a first gear? Soup or salad? |2|0|never|never
ganz|1. Ich habe den ganzen Tag noch nichts gegessen. 2. Den Zahnarzttermin habe ich ganz vergessen. 3. Ich finde Janis ganz nett. 4. Am Montag ist hier Ruhetag. Das weiß ich ganz sicher. 5. Gott sei Dank ist meine Brille noch ganz.|1. I have not eaten the whole day yet. 2. I forgot the dentist date. 3. I find Janis very nice. 4. On Monday here is rest day. I know that for sure. 5. Thankfully, my glasses are still completely. |1|0|never|never
gar|1. Die Kartoffeln sind noch nicht gar. 2. Du räumst nie dein Zimmer auf. – Das ist gar nicht wahr.|1. The potatoes are not even. 2. You never clean up your room. - That's not true. |1|0|never|never
die Garage, -n|Hier ist eine Garage zu vermieten.|Here is a garage for rent. |2|0|never|never
garantieren, garantiert, garantierte, hat garantiert|Ich kann Ihnen nicht garantieren, dass das Gerät nächste Woche fertig ist.|I can not guarantee you that the device is ready next week. |4|0|never|never
die Garantie|Auf die Waschmaschine haben Sie ein Jahr Garantie.|On the washing machine you have a year warranty. |1|0|never|never
die Garderobe, -n|1. Die Mäntel bitte an der Garderobe abgeben. 2. Bitte, achten Sie auf Ihre Garderobe.|1. Please give the coats on the wardrobe. 2. Please pay attention to your wardrobe. |2|0|never|never
der Garten, ¨-|Wir haben einen schönen großen Garten.|We have a nice big garden. |2|0|never|never
das Gas|1. Wir kochen mit Gas. 2. Gib Gas! Die Ampel ist grün.|1. We cook with gas. 2. GIB GAS! The trafficlight is green. |1|0|never|never
der Gast, ¨-e|1. Wir haben heute Abend Gäste. 2. Der Gast hat sich über das Essen beschwert.|1. We have guests tonight. 2. The guest has complained about the food. |2|0|never|never
das Gasthaus, ¨-er (A)|Gehen wir noch in ein Gasthaus ein Bier trinken?|Are we still going to drink a beer in a guest house? |2|0|never|never
die Gaststätte, -n (D)|Ich arbeite seit einem Monat in einer Gaststätte.|I have been working in a restaurant for a month. |2|0|never|never
das Gebäude, -|In diesem Gebäude sind nur Büros.|Only offices are in this building. |2|0|never|never
geben, gibt, gab, hat gegeben|1. Geben Sie mir bitte eine Quittung! 2. Können Sie mir etwas zum Schreiben geben? 3. Der Arzt hat mir eine Spritze gegeben. 4. Was gibt es im Fernsehen? 5. Es gibt bald Regen.|1. Please give me a receipt! 2. Can you give me something to write? 3. The doctor gave me a syringe. 4. What is there on TV? 5. There will be rain soon. |4|0|never|never
das Gebäck|Das Gebäck ist ganz frisch.|The pastry is quite fresh. |1|0|never|never
das Gebiet, -e|1. In diesem Gebiet gibt es kaum Industrie. 2. Die Zeitschrift berichtet regelmäßig über Fortschritte auf dem Gebiet der Medizin.|1. There is hardly any industry in this area. 2. The magazine regularly reports on advances in the field of medicine. |2|0|never|never
das Gebirge|Wir haben unseren Urlaub im Gebirge verbracht.|We spent our holiday in the mountains. |1|0|never|never
geboren werden, wird geboren, wurde geboren, ist geboren worden|Wann und wo sind Sie geboren?|When and where were you born? |4|0|never|never
gebrauchen, gebraucht, gebrauchte, hat gebraucht|1. Wir können diese Möbel gut gebrauchen. 2. Ich habe den Wagen gebraucht gekauft. 3. Ich suche eine gebrauchte Waschmaschine.|1. We can use these furniture well. 2. I bought the car used. 3. I am looking for a used washing machine. |4|0|never|never
die Gebrauchsanweisung, -en|Lesen Sie bitte zuerst die Gebrauchsanweisung.|Please read the instructions for use first. |2|0|never|never
die Gebühr, -en|Die Gebühr liegt bei 60 Euro.|The fee is 60 euros. |2|0|never|never
die Geburt, -en|Wir gratulieren zur Geburt eures Kindes!|We congratulate the birth of your child! |2|0|never|never
der Geburtstag, -e|Herzlichen Glückwunsch zum Geburtstag!|Happy Birthday! |2|0|never|never
das Gedicht, -e|Kennst du ein schönes Gedicht?|Do you know a nice poem? |2|0|never|never
die Geduld|Bitte haben Sie etwas Geduld.|Please have a little patience. |1|0|never|never
